ACS,AGER,ASSOC,BASE,CAT,CLOS,CON,DECK,DET,DIV,FINC,FNBS,FOYER,FRAME,GAR,HEAT,HEAT2,LNDR,METRO,MFGS,PATI,PRCH,SEWER,STOR,WAL1,WAL2,WALS,WATER,AREA,BEDR,COMP,FNSQ,FFNSQ,FPLS,FULB,HAFB,LOTV,PVALU,SALE,FSQFS,STRT,CONPR,SLPR,SQFS,WEIGHT,FUEL,FUEL2,FCONPR,FSLPR,AREA_F,FNSQ_F,FFNSQ_F,SLPR_F,FSLPR_F,CONPR_F,FCONPR_F,LOTV_F,SQFS_F,FSQFS_F,PVALU_F,AUTH
1,2,2,1,1,0,2,1,1,1,1,2,1,1,4,2,0,2,1,3,2,2,2,2,5,0,2,1,21000,4,201512,0,0,1,2,1,125000,0,201512,2476,201506,0,475000,2476,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201505
1,2,1,2,1,0,0,2,1,1,0,0,2,1,2,2,0,2,1,3,1,1,1,2,5,0,2,1,5000,3,0,0,0,1,2,1,0,320000,0,,201511,0,0,2000,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201511
1,2,1,3,1,0,0,1,2,1,0,0,2,1,2,2,0,3,1,3,2,2,1,2,5,7,1,1,0,3,201512,0,0,2,2,1,0,823000,0,,201403,0,0,1728,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201402
1,2,2,1,1,0,2,1,1,1,3,2,2,1,2,2,0,2,1,2,2,1,1,2,5,0,2,1,18597,3,201507,0,0,1,2,1,0,271000,201412,2385,201503,0,0,2385,90,3,0,0,558500,0,0,0,0,0,0,0,0,0,0,0,201503
1,2,1,1,1,0,1,1,2,1,2,2,0,1,1,2,0,2,1,1,2,2,1,1,5,0,2,1,0,3,201509,0,0,0,2,0,0,150000,201505,1500,201405,0,0,1500,71,2,0,0,279900,0,0,0,0,0,0,0,0,0,0,0,201405
1,2,1,1,1,0,0,2,1,1,0,2,1,1,2,2,0,3,1,3,2,1,2,2,5,0,2,1,39204,4,201509,0,0,0,3,1,0,341100,0,,201412,0,0,3286,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201412
1,2,2,1,1,0,2,1,1,1,0,2,2,1,2,2,0,3,1,3,2,2,1,2,5,0,2,1,8712,3,201511,0,0,1,2,1,30000,121000,201510,1763,201504,0,194000,1763,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201504
1,2,2,1,1,0,2,1,1,1,1,2,1,1,2,2,0,3,1,3,2,1,1,2,5,0,2,1,30000,4,201602,0,0,1,2,1,0,0,201509,2960,201508,0,0,2960,39,2,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,201508
1,2,2,1,1,0,2,2,1,1,1,2,2,1,2,2,0,2,1,3,2,1,2,2,5,0,2,1,30492,3,201511,0,0,0,2,1,0,265000,201503,1800,201505,0,0,1800,29,3,0,0,407700,0,0,0,0,0,0,0,0,0,0,0,201505
1,2,2,4,1,0,0,1,1,1,0,0,1,1,4,2,0,3,1,3,1,1,1,2,1,7,1,1,14374,3,0,0,0,1,2,1,0,300000,0,,201502,0,0,3722,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201501
